BARBARIAN;
Barbarians come in a lot of different shapes and sizes, but most tend to be taller and more muscular than other classes. They have faces that let them look intense and animalistic. They have powerful builds, so they're able to use heavy weapons and carry lots of equipment.;
Their arms tend to be long, and they have rough skin. Coming up with a good physical description for your barbarian character is important because it can help you to think about how your character's appearance will affect their behavior and outlook on life.;
Barbarians wear clothes that are rough and rugged. While many stereotypes depict barbarians as wearing nothing but a loincloth, but this is rarely true. Barbarians come from the wilds outside society, but this doesn't mean that they don't have their own sense of class and style. Some barbarian cultures favor colorful clothing and ornate jewelry.;
Barbarians are in a constant state of physical conflict, so it's common for them to have obvious signs of past wounds. Barbarians also sometimes use scars and battle marks as tattoos, so if you have the option, you might want to avoid using the deformity rules.;
Barbarians have unkempt hair and rough facial features. Generally, they have a low brow, prominent nose, and thin lips. Shaggy hair and unkempt beards are common.;
Barbarians have tough, thick skin and are sometimes covered in scars. They often have a healthy tan.;
Barbarians have long, messy hair. They sometimes have beards. They are also some few characters who are allowed to wear their hair long.;
There is no cultural norm for hair color, but most barbarians have dark hair or hair that is dark at the roots and light at the ends.;
While there's no cultural norm for eye color, most barbarians have dark eyes.;
Barbarians have a strong sense of community and honor. They are proud and believe in living as close to nature as possible. Barbarians are also traditionalists. They respect the traditions of the past, especially those that are related to warfare and combat.;
They have a sense of duty and honor, and they follow a strict code. They consider their actions to be the result of the decisions that they make, and they would never seek to blame others for their decisions.;
Barbarians are generally at peace with most species and cultures. They tend to get along with those who have warrior traditions. They are also closely tied to the natural world, so they are usually in harmony with nature.;
It is unusual for a barbarian to worship a god. Barbarians generally find it more natural to worship a pantheon of gods or nature. Many barbarians believe that they are a living incarnation of a god. Although barbarians have no formal religion, they have a strong sense of honor and loyalty. They try to emulate their gods by living in harmony with nature and fulfilling their duties.;
Barbarians are usually adventurers just because they don't really know what else to do. They have an inherent wanderlust and a desire to stand out. They have a strong sense of honor, so they often look for opportunities to prove themselves. They are natural leaders, so they often rise to leadership positions in groups.;
Your barbarian character has a strong sense of honor and tradition. They have close relationships with their tribe members, family members, and friends. They are used to fighting, and they see battle as a natural part of life. They aren't afraid to fight, and they aren't afraid to die. They don't see life as something that should be wasted.;
Your barbarian character has a sense of community and responsibility. They are loyal to their friends and family, and they have an obligation to protect the weak and innocent. They are used to adapting to dangerous situations and taking care of themselves. They have seen terrible things, but they choose to keep fighting so that they can protect others.;
Your barbarian character is a traditionalist. They have a strong sense of duty and honor, and they follow a strict code. They consider their actions to be the result of the decisions that they make, and they would never seek to blame others for their decisions.;
Your barbarian character has a strong sense of honor and duty. They are often the leaders in their groups. They are often used to being in dangerous situations, and they make good group leaders because they are used to dealing with difficult situations. They like to fight, and they are able to keep their groups moving in the right direction.;
These barbarians, different as they might be, are defined by their rage: unbridled, unquenchable, and unthinking fury. More than a mere emotion, their anger is the ferocity of a cornered predator, the unrelenting assault of a storm, the churning turmoil of the sea.;
For some, their rage springs from a communion with fierce animal spirits. Others draw from a roiling reservoir of anger at a world full of pain. For every barbarian, rage is a power that fuels not just a battle frenzy but also uncanny reflexes, resilience, and feats of strength.;
Not every member of the tribes deemed barbarians by scions of civilized society has the barbarian class. A true barbarian among these people is as uncommon as a skilled fighter in a town, and he or she plays a similar role as a protector of the people and a leader in times of war. Life in the wild places of the world is fraught with peril: rival tribes, deadly weather, and terrifying monsters. Barbarians charge headlong into that danger so that their people don't have to.;
Their courage in the face of danger makes barbarians perfectly suited for adventuring. Wandering is often a way of life for their native tribes, and the rootless life of the adventurer is little hardship for a barbarian. Some barbarians miss the close-knit family structures of the tribe, but eventually find them replaced by the bonds formed among the members of their adventuring parties.;
Barbarians are all about getting angry and dealing damage. They have a ton of hit points, resistance to damage, and Rage gives a wonderful bonus to damage. Barbarians don't get much in the way of skills, so generally they're stuck as combat monsters, but they function equally well as a defender and a striker, and certain character options can even expand them into a limited support role.;
The Barbarian is notoriously useless outside of combat because their class features are almost exclusively dedicated to act of violence. ;
Barbarians are melee fighters highly trained in the arts of weaponry. These mighty warriors, strong and quick on the battlefield, depend on their heavy plate armor, shields, and battle prowess to defend themselves and ensure enemies don't focus on their softer-skinned allies. Weapon mastery is a staple of warrior training, and they are capable of delivering high damage with enormous two-handed weapons or by wielding two weapons. As barbarians deal or take damage, their rage grows, allowing them to deliver truly crushing attacks in the heat of battle.;
Barbarians are usually leading the charge into battle, tearing across the battlefield and using furious shouts and terrifying banners to rally their allies and intimidate their enemies. Whether striking down opponents with mighty two-handed weapons, tearing into packs of enemies in a whirlwind of steel, or standing firm in the face of death itself, warriors excel at battle with a range of powerful attacks and battlefield maneuvers, as masters of both skillful strikes and devastating blows.;
Barbarians equip themselves carefully for combat and engage their enemies head-on, letting attacks glance off their heavy armor. They use diverse combat tactics and a wide variety of weapon types to protect their more vulnerable allies. Barbarians must carefully master their rage - the power behind their strongest attacks - in order to maximize their effectiveness in combat.;
Barbarian talents can improve their already considerable defenses with a shield, increase their deadliness with two-handed weapons, or bolster their savagery while dual-wielding.;
Barbarians are the quintessential fearless fighters on the battlefield, and their pure martial prowess inspires courage in allies and despair in enemies. Experts in all manner of melee weaponry and possessing incredible physical strength and skill, Warriors are perfectly suited to serve as frontline combatants and battlefield commanders.;
Every dragon slain, corrupted tyrant toppled, and demon banished from Dreary Forest has trembled in the face of these lords of war.;
Barbarians train constantly and strive for perfection in armed combat. Though they come from all walks of life, they are united in their singular commitment to engage in glorious battle. Many warriors serve as mercenary soldiers, while others become adventurers and danger-seeking fortune hunters. A typical warrior is strong, tough, and exceptionally violent.;
Combining a mastery of weapons and prowess in battle, Barbarians storm fearlessly into the front lines of any fight.;
Strength saves are fairly rare, but constitution saves are common and typically very problematic.;
Medium armor and martial weapons will get you a long way, but you get no tool proficiencies, and only two skills.;
Rage is the Barbarian's defining class feature. The bonus damage isn't huge, but it's reliable and consistent. The resistance to damage makes Barbarians exceptionally durable. You can rage multiple times in the same encounter if you absolutely need to, but your number of rages per day is limited, so try not to do so if you can avoid it.;
She is a fighter, through and through. She's tough and headstrong, never giving up until her opponent is down. She's a little dense sometimes, however, and it takes her a while to realize when she's outmatched by her opponent. She is very loyal to her friends, and she uses her muscles and brawn to protect them. She also loves to tell a joke or a story, making her a fun person to be around.;
She is tall and brawny. She has bright red hair, cropped short. Her bright green eyes are constantly assessing her surroundings while she's out on the road. Her vest is very practical, with a number of small pouches attached all around. She wears a small bag on her side, with a short sword strapped to her back.;
The Barbarian is a champion, swordsman, swordswoman, soldier, and brawler who lives or dies by the knowledge of weapons and tactics. Barbarians can be found at the front of any battle, contesting toe-to-toe with monsters and villains. A good Barbarian needs to be strong and healthy if they hope to survive.;
Barbarians can be excellent warriors. While not as disciplined or as skilled as a normal fighter, the barbarian can willingly throw himself into a berserker rage, becoming a tougher and stronger opponent. Barbarians can't use plate mail armor, unlike the other three warrior classes. They use the fighter avatar for their appearance. The Barbarian can draw from a high level ability pool which gives the barbarian some extra abilities.;
He is a very friendly, outgoing person who just loves to share a good drink with anyone willing to listen. He's never afraid to speak his mind, even if it gets him in trouble. He's happy with his life as an adventurer and looks forward to seeing the world. He loves a good fight as much as the next barbarian, but he doesn't like to kill. Well, not all the time. If his life or a friend's life is in danger, he will totally destroy his enemies. He has a soft spot for other barbarians, however, even if they are from a different tribe.;
He also has a fear of large creatures, like trolls and giants, and he has a crippling fear of bees. This came about because of his childhood, where a giant and a bee attacked him when he was a young boy. He knows this fear isn't rational, but he can't help it. If he sees a bee, he will go into a barbarian rage, attacking the bee and anyone who gets in his way. He will stop when the bee is dead or he is dead. Other than the bees and giants, he is a fearless fighter who will attack anyone that gets in his way.;
I don't like to see the world in black and white. I like to see it in color. I love to talk to new people and learn about their culture, their life and their history. I just wish it didn't always come down to fighting.;
He is a tall man with slightly long brown hair. He tends to wear whatever is comfortable, usually something unusual, like a cloak made from a lion's hide. He's not a very handsome man, but he moves with great, athletic strength. When in battle, he usually wears next to nothing, save for a metal breast-plate taken from a slain berserker. He carries a war hammer, which he forged himself from the metal of a fallen statue. He keeps his hair greasy so opponents can't get a good grip on him.;
